Conf.,Award,Time,Topic,Room,Name,Type
VAST,HM,8:30 – 10:10,#FluxFlow: Visual Analysis of Anomalous Information Spreading on Social Media,Scene C,"Jian Zhao, Nan Cao, Zhen Wen, Yale Song, Yu-Ru Lin, Christopher Collins",Papers
,,,,,,
InfoVis,,8:30 – 10:10,Interaction & Authoring,Scene B,Bongshin Lee,Papers Session
InfoVis,,8:30 – 10:10,Revisiting Bertin matrices: New Interactions for Crafting Tabular Visualizations,Scene B,"Charles Perin, Pierre Dragicevic, Jean-Daniel Fekete",Papers
InfoVis,,8:30 – 10:10,iVisDesigner: Expressive Interactive Design of Information Visualizations,Scene B,"Donghao Ren, Tobias Höllerer, Xiaoru Yuan",Papers
InfoVis,,8:30 – 10:10,Constructing Visual Representations: Investigating the Use of Tangible Tokens,Scene B,"Samuel Huron, Yvonne Jansen, Sheelagh Carpendale",Papers
InfoVis,,8:30 – 10:10,PanoramicData: Data Analysis through Pen & Touch,Scene B,"Emanuel Zgraggen, Robert Zeleznik, Steven Drucker",Papers
InfoVis,,8:30 – 10:10,Munin: A Peer-to-Peer Middleware for Ubiquitous Analytics and Visualization Spaces,Scene B,"Sriram Karthik Badam, Eli Raymond Fisher, Niklas Elmqvist",Papers
,,,,,,
SciVis,,8:30 – 10:10,Biomedical and Molecular Visualization,Scene A,Johanna Beyer,Papers Session
SciVis,,8:30 – 10:10,Characterizing Molecular Interactions in Chemical Systems,Scene A,"David Guenther, Roberto Alvarez Boto, Julia Contreras Garcia, Jean-Philip Piquemal, Julien Tierny",Papers
SciVis,,8:30 – 10:10,Ligand Excluded Surface : A New Type of Molecular Surface,Scene A,"Norbert Lindow, Daniel Baum, Hans-Christian Hege",Papers
SciVis,,8:30 – 10:10,ADR - Anatomy-Driven Reformation,Scene A,"Jan Kretschmer, Grzegorz Soza, Christian Tietjen, Michael Suehling, Bernhard Preim, Marc Stamminger",Papers
SciVis,,8:30 – 10:10,Combined Visualization of Wall Thickness and Wall Shear Stress for the Evaluation of Aneurysms,Scene A,"Sylvia Glasser, Kai Lawonn, Thomas Hoffmann, Martin Skalej, Bernhard Preim",Papers
SciVis,BP,8:30 – 10:10,Visualization of Brain Microstructure through Spherical Harmonics Illumination of High Fidelity Spatio-Angular Fields,Scene A,"Sujal Bista, Jiachen Zhou, Rao Gullapalli, Amitabh Varshney",Papers
,,,,,,
VAST,,10:30 – 12:10,Visual Analytics of Spatiotemporal Activities,Scene C,Alex Endert,Papers Session
VAST,,10:30 – 12:10,Feature Driven Visual Analytics of Soccer Data,Scene C,"Halldór Janetzko, Dominik Sacha, Manuel Stein, Tobias Schreck, Oliver Deussen, Daniel Keim",Papers
VAST,,10:30 – 12:10,Baseball4D: A Tool for Baseball Game Reconstruction & Visualization,Scene C,"Carlos Dietrich, David Koop, Huy Vo, Claudio Silva",Papers
VAST,,10:30 – 12:10,A System for Visual Analysis of Radio Signal Data,Scene C,"Tarik Crnovrsanin, Chris Muelder, Kwan-Liu Ma",Papers
VAST,,10:30 – 12:10,Feedback-Driven Interactive Exploration of Large Multidimensional Data Supported by Visual Classifier,Scene C,"Michael Behrisch, Fatih Korkmaz, Lin Shao, Tobias Schreck",Papers
VAST,,10:30 – 12:10,An Integrated Visual Analysis System for Fusing MR Spectroscopy and Multi-Modal Radiology Imaging,Scene C,"Miguel Nunes, Benjamin Rowland, Matthias Schlachter, Soleakhena Ken, Krešimir Matković, Anne Laprie, Katja Bühler",Papers
,,,,,,
InfoVis,,10:30 – 12:10,Exploratory Data Analysis,Scene B,Adam Perer,Papers Session
InfoVis,,10:30 – 12:10,The Effects of Interactive Latency on Exploratory Visual Analysis,Scene B,"Zhicheng Liu, Jeffrey Heer",Papers
InfoVis,,10:30 – 12:11,Visualizing Statistical Mix Effects and Simpson’s Paradox,Scene B,"Zan Armstrong, Martin Wattenberg",Papers
InfoVis,,10:30 – 12:11,Error Bars Considered Harmful: Exploring Alternate Encodings for Mean and Error,Scene B,"Michael Correll, Michael Gleicher",Papers
InfoVis,,10:30 – 12:12,Four Experiments on the Perception of Bar Charts,Scene B,"Justin Talbot, Vidya Setlur, Anushka Anand",Papers
InfoVis,,10:30 – 12:12,Visual Parameter Space Analysis: A Conceptual Framework,Scene B,"Michael Sedlmair, Christoph Heinzl, Harald Piringer, Stefan Bruckner, Torsten Möller",Papers
,,,,,,
SciVis,,10:30 – 12:10,Feature Extraction and Flows,Scene A,Chaoli Wang,Papers Session
SciVis,HM,10:30 – 12:10,A Robust Parity Test for Extracting Parallel Vectors in 3D,Scene A,"Tao Ju, Minxin Cheng, Xu Wang, Ye Duan",Papers
SciVis,,10:30 – 12:11,Exploring Flow Fields Using Space-filling Analysis of Streamlines,Scene A,"Abon Chaudhuri, Teng-Yok Lee, Han-Wei Shen, Rephael Wenger",Papers
SciVis,,10:30 – 12:11,Vortex Cores of Inertial Particles,Scene A,"Tobias Günther, Holger Theisel",Papers
SciVis,,10:30 – 12:12,The Natural Helmholtz-Hodge Decomposition For Open-Boundary Flow Analysis,Scene A,"Harsh Bhatia, Valerio Pascucci, Peer-Timo Bremer",Papers
SciVis,,10:30 – 12:12,FLDA: Latent Dirichlet Allocation Based Unsteady Flow Analysis,Scene A,"Fan Hong, Chufan Lai, Hanqi Guo, Xiaoru Yuan, Enya Shen, Sikun Li",Papers
,,,,,,
VIS,,14:00 – 15:40,Funding Opportunities for V.I.S. Research in Horizon 2020,Scene C,"Jörn Kohlhammer, Philippe Quevauviller, Teresa de Martino, William Wong, Daniel Keim, Brian Fisher",Panels
,,,,,,
InfoVis,,14:00 – 15:40,Design Process & Persuasion,Scene B,Michael Sedlmair,Papers Session
InfoVis,,14:00 – 15:40,Attribute Signatures: Dynamic Visual Summaries for Analyzing Moving beyond sequential design: Reflections on a rich multichannel approach to data visualization,Scene B,"Jo Wood, Roger Beecham, Jason Dykes",Papers
InfoVis,HM,14:00 – 15:40,An Algebraic Process for Visualization Design,Scene B,"Gordon Kindlmann, Carlos Scheidegger",Papers
InfoVis,,14:00 – 15:40,Design Activity Framework for Visualization Design,Scene B,"Sean McKenna, Dominika Mazur, James Agutter, Miriah Meyer",Papers
InfoVis,,14:00 – 15:40,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,Scene B,"Simon Stusak, Aurélien Tabard, Franziska Sauka, Rohit Ashok Khot, Andreas Butz",Papers
InfoVis,,14:00 – 15:40,The Persuasive Power of Data Visualization,Scene B,"Anshul Vikram Pandey, Anjali Manivannan, Oded Nov, Margaret Satterthwaite, Enrico Bertini",Papers
,,,,,,
SciVis,,14:00 – 15:40,"Flowline Tracing, Clustering, and Visualization",Scene A,Tino Weinkauf,Papers Session
SciVis,,14:00 – 15:40,Advection-Based Sparse Data Management for Visualizing Unsteady Flow,Scene A,"Hanqi Guo, Jiang Zhang, Richen Liu, Lu Liu, Xiaoru Yuan, Jian Huang, Xiangfei Meng, Jingshan Pan",Papers
SciVis,,14:00 – 15:40,Trajectory-based Flow Feature Tracking in Joint Particle/ Volume Datasets,Scene A,"Franz Sauer, Hongfeng Yu, Kwan-Liu Ma",Papers
SciVis,,14:00 – 15:40,Interpolation-Based Pathline Tracing in Particle-Based Flow Visualization,Scene A,"Jennifer Chandler, Harald Obermaier, Ken Joy",Papers
SciVis,,14:00 – 15:40,Blood Flow Clustering and Applications in Virtual Stenting of Intracranial Aneurysms,Scene A,"Steffen Oeltze, Dirk J. Lehmann, Alexander Kuhn, Gábor Janiga, Holger Theisel, Bernhard Preim",Papers
SciVis,,14:00 – 15:40,A Deformation Framework for Focus + Context Flow Visualization,Scene A,"Jun Tao, Chaoli Wang, Ching-Kuang Shene, Seung Hyun Kim",Papers
,,,,,,
VAST,,16:15 – 17:55,Visual Analysis of Relationships,Scene C,Margit Pohl,Papers Session
VAST,,16:15 – 17:55,An Insight- and Task-based Methodology for Evaluating Spatiotemporal Visual Analytics,Scene C,"Steven Gomez, Hua Guo, Caroline Ziemkiewicz, David H. Laidlaw",Papers
VAST,,16:15 – 17:55,Weaving a Carpet from Log Entries: a Network Security Visualization Built with Co-Creation,Scene C,"Johannes Landstorfer, Ivo Herrmann, Jan-Erik Stange, Marian Dörk, Reto Wettach",Papers
VAST,,16:15 – 17:55,"Analyzing High-dimensional Multivariate Network Links with Integrated Anomaly Detection, Highlighting and Exploration",Scene C,"Sungahn Ko, Shehzad Afzal, Simon Walton, Yang Yang, Junghoon Chae, Abish Malik, Yun Jang, Min Chen, David Ebert",Papers
VAST,,16:15 – 17:55,Visual Analysis of Patterns in Multiple Amino Acid Mutation Graphs,Scene C,"Olav Lenz, Frank Keul, Sebastian Bremm, Kay Hamacher, Tatiana von Landesberger",Papers
VAST,,16:15 – 17:55,Visual Analysis of Patterns in Multiple Amino Acid Mutation Graphs,Scene C,"Fei Wang, Wei Chen, Feiran Wu, Ye Zhao, Han Hong, Tianyu Gu, Long Wang, Ronghua Liang, Hujun Bao",Papers
,,,,,,
VIS,,16:15 – 17:55,Challenges in Financial Visualization,Scene B,"Richard Brath, Lancelot Comrie, David Keller, Elaine Knuth, Eugene Sorenson",Panels
,,,,,,
SciVis,,16:15 – 17:55,IEEE Scientific Visualization Contest,Scene A,"David Feng, Bernd Hentschel",Contest
,,,,,,
VIS,,18:00 – 19:00,VIS Poster + Art Program Viewing,"Scene ABC, Forum GHIJ",,Posters
,,,,,,
VIS,,19:30 – 21:30,VIS Banquet,,,Banquet
,,,,,,
,,Thursday 13 November 2014,,,,
VIS,,8:00 – 8:30,Papers Fast Forward,Scene B,,Fast Forward
,,,,,,
VIS,,10:30 – 12:10,Bridging the Gap: Translating Perception and Cognition Expertise into Visualization Research and Practice,Auditorium,"Georges-Pierre Bonneau, Rita Borgo, Brian Fisher, Michael Gleicher, Timo Ropinski, Colin Ware",Panels
,,,,,,
VAST,,8:30 – 10:10,Searching and Tracking,Scene C,William Pike,Papers Session
VAST,,8:30 – 10:10,DecisionFlow: Visual Analytics for High-Dimensional Temporal Event Sequence Data,Scene C,"David Gotz, Harry Stavropoulos",Papers
VAST,,8:30 – 10:10,Footprints: A Visual Search Tool that Supports Discovery and Coverage Tracking,Scene C,"Ellen Isaacs, Kelly Domico, Shane Ahern, Eugene Bart, Mudita Singhal",Papers
VAST,,8:30 – 10:10,Visual Analytics for Complex Engineering Systems: Hybrid Visual Steering of Simulation Ensembles,Scene C,"Krešimir Matković, Denis Gračanin, Rainer Splechtna, Mario Jelović, Benedikt Stehno, Helwig Hauser, Werner Purgathofer",Papers
VAST,,8:30 – 10:10,Visual Exploration of Sparse Traffic Trajectory Data,Scene C,"Zuchao Wang, Tangzhi Ye, Min Lu, Xiaoru Yuan, Huamin Qu, Jacky Yuan, Qianliang Wu",Papers
VAST,,8:30 – 10:10,DIA2: Web-based Cyberinfrastructure for Visual Analysis of Funding Portfolio,Scene C,"Krishna Madhavan, Niklas Elmqvist, Mihaela Vorvoreanu, Xin Chen, Yuet Ling Wong, Hanjun Xian, Zhihua Dong, Aditya Johri",Papers
,,,,,,
InfoVis,,8:30 – 10:10,Evaluation,Scene B,Heidi Lam,Papers Session
InfoVis,,8:30 – 10:10,Comparative Eye Tracking Study on Node-Link Visualizations of Trajectories,Scene B,"Rudolf Netzel, Michael Burch, Daniel Weiskopf",Papers
InfoVis,,8:30 – 10:10,"Node, Node-Link, and Node-Link-Group Diagrams: An Evaluation",Scene B,"Bahador Saket, Paolo Simonetto, Stephen Kobourov, Katy Borner",Papers
InfoVis,,8:30 – 10:10,The Not-so-Staggering Effect of Staggered Animated Transitions on Visual Tracking,Scene B,"Fanny Chevalier, Pierre Dragicevic, Steven Franconeri",Papers
InfoVis,,8:30 – 10:10,The Influence of Contour on Similarity Perception of Star Glyphs,Scene B,"Johannes Fuchs, Petra Isenberg, Anastasia Bezerianos, Fabian Fischer, Enrico Bertini",Papers
InfoVis,,8:30 – 10:10,Order of Magnitude Markers: An Empirical Study on Large Magnitude Number Detection,Scene B,"Rita Borgo, Joel Dearden, Mark W. Jones",Papers
,,,,,,
SciVis,,8:30 – 10:10,Maps and Topology,Scene A,Shigeo Takahashi,Papers Session
SciVis,,8:30 – 10:10,Visualizing 2-dimensional manifolds with curve handles in 4D,Scene A,"Hui Zhang, Jianguang Weng, Guangchen Ruan",Papers
SciVis,,8:30 – 10:10,Fast and Memory-Efficient Topological Denoising of 2D and 3D Scalar Fields,Scene A,"David Guenther, Alec Jacobson, Jan Reininghaus, Hans-Peter Seidel, Olga Sorkine-Hornung, Tino Weinkauf",Papers
SciVis,,8:30 – 10:10,Conforming Morse-Smale Complexes,Scene A,"Attila Gyulassy, David Guenther, Joshua A. Levine, Julien Tierny, Valerio Pascucci",Papers
SciVis,,8:30 – 10:10,Escape Maps,Scene A,"Gustavo Mello Machado, Filip Sadlo, Thomas Müller, Thomas Ertl",Papers
SciVis,,8:30 – 10:10,Visualization of Regular Maps: The Chase Continues,Scene A,Jarke J. van Wijk,Papers
,,,,,,
VAST,,10:30 – 12:10,Visual Analytics in Infrastructural and Environmental Applications,Scene C,Laura McNamara,Papers Session
VAST,,10:30 – 12:10,Visualizing Mobility of Public Transportation System,Scene C,"Wei Zeng, Chi-Wing Fu, Stefan Müller Arisona, Alexander Erath, Huamin Qu",Papers
VAST,,10:30 – 12:10,Visual Analysis of Public Utility Service Problems in a Metropolis,Scene C,"Jiawan Zhang, Yanli E, Jing Ma, Yahui Zhao, Binghan Xu, Liting Sun, Jinyan Chen, Xiaoru Yuan",Papers
VAST,,10:30 – 12:10,VASA: Interactive Computational Steering of Large Asynchronous Simulation Pipelines for Societal Infrastructure,Scene C,"Sungahn Ko, Jieqiong Zhao, Jing Xia, Xiaoyu Wang, Greg Abram, Niklas Elmqvist, Shaun Kennedy, Kelly Gaither, William Tolone, William Ribarsky, David Ebert",Papers
VAST,,10:30 – 12:10,Proactive Spatiotemporal Resource Allocation and Predictive Visual Analytics for Community Policing and Law Enforcement,Scene C,"Abish Malik, Ross Maciejewski, Sherry Towers, Sean McCullough, David Ebert",Papers
VAST,,10:30 – 12:10,Run Watchers: Automatic Simulation-Based Decision Support in Flood Management,Scene C,"Artem Konev, Jürgen Waser, Bernhard Sadransky, Daniel Cornel, Rui A. P. Perdigão, Zsolt Horváth, Eduard Gröller",Papers
,,,,,,
InfoVis,,10:30 – 12:10,Applications,Scene B,Miriah Meyer,Papers Session
InfoVis,,10:30 – 12:10,LiveGantt: Interactively Visualizing a Large Manufacturing Schedule,Scene B,"Jaemin Jo, Jaeseok Huh, Jonghun Park, Bohyoung Kim, Jinwook Seo",Papers
InfoVis,,10:30 – 12:10,TenniVis: Visualization for Tennis Match Analysis,Scene B,"Tom Polk, Jing Yang, Yueqi Hu, Ye Zhao",Papers
InfoVis,,10:30 – 12:10,Combing the Communication Hairball: Visualizing Large-Scale Parallel Execution Traces using Logical Time,Scene B,"Katherine Isaacs, Peer-Timo Bremer, Ilir Jusufi, Todd Gamblin, Abhinav Bhatele, Martin Schulz, Bernd Hamann",Papers
InfoVis,,10:30 – 12:10,MovExp: A Versatile Visualization Tool for Human-Computer Interaction Studies with 3D Performance and Biomechanical Data,Scene B,"Gregorio Palmas, Myroslav Bachynskyi, Antti Oulasvirta, Hans-Peter Seidel, Tino Weinkauf",Papers
InfoVis,HM,10:30 – 12:10,NeuroLines: A Subway Map Metaphor for Visualizing Nanoscale Neuronal Connectivity,Scene B,"Ali Al-Awami, Johanna Beyer, Hendrik Strobelt, Narayanan Kasthuri, Jeff W. Lichtman, Hanspeter Pfister, Markus Hadwiger",Papers
,,,,,,
SciVis,,10:30 – 12:10,Visual Integration and Design,Scene A,Xiaoru Yuan,Papers Session
SciVis,HM,10:30 – 12:10,City Forensics: Using Visual Elements to Predict Non-Visual City Attributes,Scene A,"Sean Arietta, Alexei Efros, Ravi Ramamoorthi, Maneesh Agrawala",Papers
SciVis,,10:30 – 12:10,Using Topological Analysis to Support Event-Guided Exploration in Urban Data,Scene A,"Harish Doraiswamy, Nivan Ferreira, Theodoros Damoulas, Juliana Freire, Claudio Silva",Papers
SciVis,,10:30 – 12:10,Activity Detection in Scientific Visualization,Scene A,"Sedat Ozer, Deborah Silver, Karen Bemis, Pino Martin",Papers
SciVis,,10:30 – 12:10,Trend-Centric Motion Visualization: Designing and Applying a new Strategy for Analyzing Scientific Motion Collections,Scene A,"David Schroeder, Fedor Korsakov, Carissa Mai-Ping Knipe, Lauren Thorson, Arin M. Ellingson, David Nuckley, John Carlis, Daniel F. Keefe",Papers
SciVis,,10:30 – 12:10,Curve Boxplot: Generalization of Boxplot for Ensembles of Curves,Scene A,"Mahsa Mirzargar, Ross Whitaker, Mike Kirby",Papers
,,,,,,
VAST,,14:00 – 15:40,Visual Analysis of Changes,Scene C,Zhicheng Liu,Papers Session
VAST,,14:00 – 15:40,Using Visualizations to Monitor Changes and Harvest Insights from a Global-Scale Logging Infrastructure at Twitter,Scene C,"Krist Wongsuphasawat, Jimmy Lin",Papers
VAST,,14:00 – 15:40,HydroQual: Visual Analysis of River Water Quality,Scene C,"Pierre Accorsi, Mickaël Fabrègue, Arnaud Sallaberry, Flavie Cernesson, Nathalie Lalande, Agnès Braud, Sandra Bringay, Florence Le Ber, Pascal Poncelet, Maguelonne Teisseire",Papers
VAST,,14:00 – 15:40,Vismate: Interactive Visual Analysis of Station-Based Observation Data on Climate Changes,Scene C,"Jie Li, Kang Zhang, Zhao-Peng Meng",Papers
VAST,,14:00 – 15:40,BoundarySeer: Visual Analysis of 2D Boundary Changes,Scene C,"Wenchao Wu, Yixian Zheng, Huamin Qu, Wei Chen, Eduard Gröller, Lionel Ni",Papers
VAST,,14:00 – 15:40,YMCA - Your Mesh Comparison Application,Scene C,"Johanna Schmidt, Reinhold Preiner, Thomas Auzinger, Michael Wimmer, Eduard Gröller, Stefan Bruckner",Papers
,,,,,,
VIS,,14:00 – 15:40,The Future of Visualization: Research and Industry,Scene B,"Danyel Fisher, Edouard Audit (CEA), Steven Drucker (Microsoft Research), Jean-Daniel Fekete (Inria), Dieter W. Fellner (Fraunhofer IGD), Jock Mackinlay (Tableau), Merry Wang (Autodesk)",Industry Presentation
,,,,,,
SciVis,,14:00 – 15:40,Data Transformation and COmparative Visualization,Scene A,Hans-Christian Hege,Papers Session
SciVis,,14:00 – 15:40,Volume-Preserving Mapping and Registration for Collective Data Visualization,Scene A,"Jiaxi Hu, Guangyu Jeff Zou, Jing Hua",Papers
SciVis,,14:00 – 15:40,Fixed-Rate Compressed Floating-Point Arrays,Scene A,Peter Lindstrom,Papers
SciVis,,14:00 – 15:40,Decomposition and Simplification of Multivariate Data using Pareto Sets,Scene A,"Lars Huettenberger, Christian Heine, Christoph Garth",Papers
SciVis,,14:00 – 15:40,Multi-Charts for Comparative 3D Ensemble Visualization,Scene A,"Ismail Demir, Christian Dick, Rüdiger Westermann",Papers
SciVis,,14:00 – 15:40,Stent maps – Comparative visualization for the prediction of adverse events of transcatheter aortic valve implantations,Scene A,"Silvia Born, Simon Sündermann, Christoph Russ, Raoul Hopf, Carlos Ruiz, Volkmar Falk, Michael Gessat",Papers
,,,,,,
VAST,,16:15 – 17:55,Visual Analysis of Semantic Meanings,Scene C,Jörn Kohlhammer,Papers Session
VAST,,16:15 – 17:55,Multi-Model Semantic Interaction for Text Analytics,Scene C,"Lauren Bradel, Chris North, Leanna House, Scotland Leman",Papers
VAST,,16:15 – 17:55,Serendip: Topic Model-Driven Visual Exploration of Text Corpora,Scene C,"Eric Alexander, Joe Kohlmann, Michael Witmore, Robin Valenza, Michael Gleicher",Papers
VAST,,16:15 – 17:55,TopicPanorama: a Full Picture of Relevant Topics,Scene C,"Shixia Liu, Xiting Wang, Jianfei Chen, Jun Zhu, Baining Guo",Papers
VAST,,16:15 – 17:55,Integrating Predictive Analytics and Social Media,Scene C,"Yafeng Lu, Robert Krueger, Dennis Thom, Feng Wang, Steffen Koch, Thomas Ertl, Ross Maciejewski",Papers
VAST,,16:15 – 17:55,PEARL: An Interactive Visual Analytic Tool for Understanding Personal Emotion Style Derived from Social Media,Scene C,"Jian Zhao, Liang Gou, Fei Wang, Michelle Zhou",Papers
,,,,,,
InfoVis,,16:15 – 17:55,Perception & Design,Scene B,Petra Isenberg,Papers Session
InfoVis,,16:15 – 17:55,Learning Perceptual Kernels for Visualization Design,Scene B,"Çağatay Demiralp, Michael Bernstein, Jeffrey Heer",Papers
InfoVis,,16:15 – 17:55,Ranking Visualization of Correlation Using Weber’s Law,Scene B,"Lane Harrison, Fumeng Yang, Steven Franconeri, Remco Chang",Papers
InfoVis,,16:15 – 17:55,"The Relation Between Visualization Size, Grouping, and User Performance",Scene B,"Connor Gramazio, Karen Schloss, David Laidlaw",Papers
InfoVis,,16:15 – 17:55,A Principled Way of Assessing Visualization Literacy,Scene B,"Jeremy Boy, Ronald Rensink, Enrico Bertini, Jean-Daniel Fekete",Papers
InfoVis,,16:15 – 17:55,Reinforcing Visual Grouping Cues to Communicate Complex Informational Structure,Scene B,"Juhee Bae, Benjamin Watson",Papers
,,,,,,
VIS,,16:15 – 17:55,2D vs 3D,Scene A,"Robert S. Laramee, Chuck Hansen, Silvia Miksch, Klaus Mueller, Bernhard Preim, Colin Ware",Panels
,,,,,,
,,Friday 14 November 2014,,,,
VIS,,8:00 – 8:30,Papers Fast Forward,,,Fast Forward
,,,,,,
VIS,,8:30 – 10:10,For Young Visualization Researchers: Words of Wisdom,Auditorium,"Georges Grinstein, Sheelagh Carpendale, Alfred Inselberg, Jim Foley, Ari Kaufman, Theresa-Marie Rhyne, Bernice Rogowitz, Ben Shneiderman",Panels
,,,,,,
VAST,,8:30 – 10:10,Visual Analytics in Scientific Applications,Scene C,Andreas Kerren,Papers Session
VAST,,8:30 – 10:10,ConTour: Data-Driven Exploration of Multi-Relational Datasets for Drug Discovery,Scene C,"Christian Partl, Alexander Lex, Marc Streit, Hendrik Strobelt, Anne-Mai Wassermann, Hanspeter Pfister, Dieter Schmalstieg",Papers
VAST,,8:30 – 10:10,Visual Analytics for Comparison of Ocean Model Output with Reference Data: Detecting and Analyzing Geophysical Processes Using Clustering Ensembles,Scene C,"Patrick Köthur, Mike Sips, Henryk Dobslaw, Doris Dransch",Papers
VAST,,8:30 – 10:10,Genotet: An Interactive Web-based Visual Exploration Framework to Support Validation of Gene Regulatory Networks,Scene C,"Bowen Yu, Harish Doraiswamy, Xi Chen, Emily Miraldi, Mario Luis Arrieta-Ortiz, Christoph Hafemeister, Aviv Madar, Richard Bonneau, Claudio Silva",Papers
VAST,,8:30 – 10:10,The Spinel Explorer - Interactive Visual Analysis of Spinel Group Minerals,Scene C,"M. Luján Ganuza, Gabriela R. Ferracutti, M. Florencia Gargiulo, Silvia M. Castro, Ernesto A. Bjerg, Eduard Gröller, Krešimir Matković",Papers
VAST,,8:30 – 10:10,Visual Reconciliation of Alternative Similarity Spaces in Climate Modeling,Scene C,"Jorge Poco, Aritra Dasgupta, Yaxing Wei, William Hargrove, Christopher Schwalm, Deborah Huntzinger, Robert Cook, Enrico Bertini, Claudio Silva",Papers
,,,,,,
InfoVis,,8:30 – 10:10,"Documents, Search & Images",Scene B,Martin Wattenberg,Papers Session
InfoVis,,8:30 – 10:10,"Overview: The Design, Adoption, and Analysis of a Visual Document Mining Tool For Investigative Journalists",Scene B,"Matthew Brehmer, Stephen Ingram, Jonathan Stray, Tamara Munzner",Papers
InfoVis,,8:30 – 10:10,How Hierarchical Topics Evolve in Large Text Corpora,Scene B,"Weiwei Cui, Shixia Liu, Zhuofeng Wu, Hao Wei",Papers
InfoVis,,8:30 – 10:10,Exploring the Placement and Design of Word-Scale Visualizations,Scene B,"Pascal Goffin, Wesley Willett, Jean-Daniel Fekete, Petra Isenberg",Papers
InfoVis,,8:30 – 10:10,Similarity Preserving Snippet-Based Visualization of Web Search Results,Scene B,"Erick Gomez-Nieto, Frizzi San Roman, Paulo Pagliosa, Wallace Casaca, Elias S. Helou, Maria Cristina Ferreira de Oliveira, Luis Gustavo Nonato",Papers
InfoVis,,8:30 – 10:10,Effects of Presentation Mode and Pace Control on Performance in Image Classification,Scene B,"Paul van der Corput, Jarke J. van Wijk",Papers
,,,,,,
SciVis,,8:30 – 10:10,Video and High Dimensional Data,Scene A,Wei Chen,Papers Session
SciVis,,8:30 – 10:10,A Structure-Based Distance Metric for High-Dimensional Space Exploration with Multi-Dimensional Scaling,Scene A,"J. Lee, K. McDonnell, A. Zelenyuk, D. Imre, K. Mueller",Papers
SciVis,,8:30 – 10:10,An Approach to Supporting Incremental Visual Data Classification,Scene A,"Jose Gustavo S. Paiva, William Robson Schwartz, Helio Pedrini, Rosane Minghim",Papers
SciVis,,8:30 – 10:10,Glyph-Based Video Visualization for Semen Analysis,Scene A,"Brian Duffy, Jeyarajan Thiyagalingam, Simon Walton, David J. Smith, Anne Trefethen, Jackson C. Kirkman-Brown, Eamonn A. Gaffney, Min Chen",Papers
SciVis,,8:30 – 10:10,The Impact of Interactivity on Comprehending 2D and 3D Visualizations of Movement Data,Scene A,"Fereshteh Amini, Sébastien Rufiange, Zahid Hossain, Quentin Ventura, Pourang Irani, Michael J. McGuffin",Papers
SciVis,,8:30 – 10:10,GazeVis: Interactive 3D Gaze Visualization for Contiguous Cross-sectional Medical Images,Scene A,"Hyunjoo Song, Jihye Yun, Bohyoung Kim, Jinwook Seo",Papers
,,,,,,
VIS,,10:30 – 11:30,Understanding and Conveying Events,Scene ABC,Barbara Tversky,Capstone
,,,,,,
VIS,, 11:30 – 12:00,VIS Closing,Scene ABC,,Closing
