Conf.,Award,Time,Topic,Room,Name,Type
VizSec,,4:15 – 5:55,Problem Characterization and Abstraction for Visual Analytics in Behavior-Based Malware Pattern Analysis ,Scene C,"Markus Wagner, Wolfgang Aigner, Alexander Rind, Hermann Dornhackl, Konstantin Kadletz, Robert Luh and Paul Tavolato",Papers
VizSec,,4:15 – 5:55,Detecting Malware Samples with Similar Image Sets ,Scene C,"Alexander Long, Josh Saxe and Robert Gove",Papers
VizSec,,4:15 – 5:55,SEEM: A Scalable Visualization for Comparing Multiple Large Sets of Attributes for Malware Analysis ,Scene C,"Robert Gove, Joshua Saxe, Sigfried Gold, Alex Long and Giacomo Bergamo",Papers
VizSec,,4:15 – 5:55,DAVAST: Data-centric Activity Visualization at the System Level ,Scene C,"Tobias Wüchner, Alexander Pretschner and Martin Ochoa",Papers
,,,,,,
VizSec,,6:00 – 7:00,Poster Session,,,
,,,,,,
,,LDAV,,,,
LDAV,,8:30 – 8:40,LDAV Day 2 Fast-Forward,Scene A,Anders Ynnerman,Fast Forward
,,,,,,
LDAV,,8:40 – 10:10,Foundational Techniques for Large and Complex Data,Scene A,,Papers Session
LDAV,,8:40 – 10:10,Data-Parallel Halo Finding with Variable Linking Lengths,Scene A,"Wathsala Widanagamaachchi, Peer-Timo Bremer, Christopher Sewell, Li-Ta Lo, James Ahrens, Valerio Pascucci",Papers
LDAV,,8:40 – 10:10,Multivariate Volume Visualization through Dynamic Projections,Scene A,"Shusen Liu, Shusen Liu, Jayaraman J. Thiagarajan, Peer-Timo Bremer, Valerio Pascucci",Papers
LDAV,,8:40 – 10:10,ADR Visualization: A Generalized Framework for Ranking Large-Scale Scientific Data using Analysis-Driven Refinement,Scene A,"Boonthanome Nouanesengsy, Jonathan Woodring, Kary Myers, John Patchett, James Ahrens",Papers
,,,,,,
LDAV,,10:40 – 12:10,In Situ Visualization of Large Data,Scene A,,Papers Session
LDAV,,10:40 – 12:10,In-situ multi-resolution and temporal data compression for visual exploration of large-scale scientific simulations,Scene A,"Henry Lehmann, Bernhard Jung",Papers
LDAV,,10:40 – 12:10,Space-Time Volumetric Depth Images for In-Situ Visualization,Scene A,"Oliver Fernandes, Steffen Frey, Filip Sadlo, Thomas Ertl",Papers
LDAV,,10:40 – 12:10,Improved Post Hoc Flow Analysis Via Lagrangian Representations,Scene A,"Alexy Agranovsky, David Camp, Christoph Garth, E. Wes Bethel, Kenneth I. Joy, Hank Childs",Papers
,,,,,,
LDAV,,14:00 – 15:30,Applications to Very Large Data Sets,Scene A,,Papers Session
LDAV,,14:00 – 15:30,Visual Analysis of Large Dental Imaging Data in Caries Research,Scene A,"Guangchen Ruan, Hui Zhang",Papers
LDAV,,14:00 – 15:30,Visual Analytics of Large-Scale Climate Model Data,Scene A,"Pak Chung Wong, Han-Wei Shen, Ruby Leung, Samson Hagos, Teng-Yok Lee, Xin Tong, Kewei Lu",Papers
LDAV,,14:00 – 15:30,Out-of-Core Visualization of Time-Varying Hybrid-Grid Volume Data,Scene A,"Min Shih, Yubo Zhang, Kwan-Liu Ma, Jayanarayanan Sitaraman, Dimitri Mavriplis",Papers
,,,,,,
LDAV,,15:30 – 15:40,LDAV Awards and Closing,Scene A,,
,,,,,,
,,BELIV,,,,
BELIV,,8:30 – 8:45,Introduction,Auditorium,,
,,,,,,
BELIV,,8:50 – 9:25,Bad Stats are Miscommunicated Stats,Auditorium,Pierre Dragicevic,Keynote
,,,,,,
BELIV,,9:30 – 10:10,Rethinking Evaluation Level: Abstracted Task vs In Situ Evaluation,Auditorium,Heidi Lam,Papers Session
BELIV,,9:30 – 10:10,Visualizing Dimensionally-Reduced Data: Interviews with Analysts and a Characterization of Task Sequences,Auditorium,"Matthew Brehmer, Michael Sedlmair, Stephen Ingram, Tamara Munzner",Papers
BELIV,,9:30 – 10:10,User Tasks for Evaluation: Untangling the Terminology Throughout Visualization Design and Development,Auditorium,"Alexander Rind, Wolfgang Aigner, Markus Wagner, Silvia Miksch, Tim Lammarsch",Papers
BELIV,,9:30 – 10:10,Considerations for Characterizing Domain Problems,Auditorium,"Kirsten Winters, Denise Lach, Judith Cushing",Papers
BELIV,,9:30 – 10:10,Navigating Reductionism and Holism in Evaluation,Auditorium,"Michael Correll, Eric Alexander, Danielle Albers, Alper Sarikaya, Michael Gleicher",Papers
,,,,,,
BELIV,,10:30 – 11:15,Cognitive Processes and Interaction,Auditorium,Petra Isenberg,Papers Session
BELIV,,10:30 – 11:15,Evaluation Methodology for Comparing Memory and Communication of Analytic Processes in Visual Analytics,Auditorium,"Eric Ragan, John Goodall",Papers
BELIV,,10:30 – 11:15,Just the other side of the coin? From error- to insight-analysis,Auditorium,Michael Smuc,Papers
BELIV,,10:30 – 11:15,Evaluating User Behavior and Strategy During Visual Exploration,Auditorium,"Khairi Reda, Andrew Johnson, Jason Leigh, Michael Papka",Papers
BELIV,,10:30 – 11:15,Value-Driven Evaluation of Visualizations,Auditorium,John Stasko,Papers
,,,,,,
BELIV,,11:15 – 11:50,New Techniques I: Eye Tracking,Auditorium,Tobias Isenberg,Papers Session
BELIV,,11:15 – 11:50,Benchmark Data for Evaluating Visualization and Analysis Techniques for Eye Tracking for Video Stimuli,Auditorium,"Kuno Kurzhals, Daniel Weiskopf",Papers
BELIV,,11:15 – 11:50,Evaluating Visual Analytics with Eye Tracking,Auditorium,"Kuno Kurzhals, Brian Fisher, Daniel Weiskopf, Michael Burch",Papers
BELIV,,11:15 – 11:50,Towards Analyzing Eye Tracking Data for Evaluating Interactive Visualization Systems,Auditorium,"Tanja Blascheck, Thomas Ertl",Papers
,,,,,,
BELIV,,11:50 – 12:20,New Techniques II: Crowdsourcing,Auditorium,Michael Sedlmair,Papers Session
BELIV,,11:50 – 12:20,Evaluation Methodology for Comparing Memory and Communication of Analytic Processes in Visual Analytics,Auditorium,"Eric Ragan, John Goodall",Papers
BELIV,,11:50 – 12:20,Gamification as a Paradigm for the Evaluation of Visual Analytics Systems,Auditorium,"Nafees Ahmed, Klaus Mueller",Papers
BELIV,,11:50 – 12:20,Repeated Measures Design in Crowdsourcing-based Experiments for Visualization,Auditorium,"Alfie Abdul-Rahman, Karl Proctor, Brian Duffy, Min Chen",Papers
,,,,,,
BELIV,,14:00 – 14:55,Adopting methods from other fields,Auditorium,Heidi Lam,Papers Session
BELIV,,14:00 – 14:55,Evaluation of information visualization techniques: analysing user experience with reaction cards,Auditorium,Tanja Merčun,Papers
BELIV,,14:00 – 14:55,Toward Visualization-Specific Heuristic Evaluation,Auditorium,"Alvin Tarrell, Ann Fruhling, Rita Borgo, Jean Scholtz, Georges Grinstein, Camilla Forsell",Papers
BELIV,,14:00 – 14:55,Experiences and Challenges with Evaluation Methods in Practice: A Case Study,Auditorium,"Simone Kriglstein, Margit Pohl, Nikolaus Suchy, Theresia Gschwandtner, Silvia Miksch, Johannes Gärtner",Papers
BELIV,,14:00 – 14:55,More Bang for Your Research Buck: Toward Recommender Systems for Visual Analytics,Auditorium,"Leslie Blaha, Dustin Arendt, Fairul Mohd-Zaid",Papers
